id,name,symbol,bulk,melting_point,VEC,radius,density,en_pauling,new_bulk,specific_heat,ion,atomic_mass,allen_en,c11,c12,c44,GGA,SGTE,atomic_volume,boiling_point,atomic_weight
80,Thallium,Tl,43,576.6,3,1.71,11.85,1.8,28.5,0.129,6.1083,204.3833,1.789,40.8,35.4,0,-1.81,-0.31,17.2,1730,204.38
81,Lead,Pb,46,600.65,4,1.75,11.35,1.8,45.8,0.13,7.4167,207.2,1.854,49.66,42.31,14.98,1.8,0.3,18.3,2013,207.2
82,Bismuth,Bi,31,544.5,,1.7,9.747,1.9,31.5,0.122,7.289,208.9804,2.01,63.7,24.9,11.23,-4.2,,21.3,1883,208.9804
83,Polonium,Po,2,527,6,1.76,9.32,2,2,,8.4167,209,2.19,128,13,0,,,22.7,1235,209
84,Astatine,At,0,575,,0,,2.2,,,9.5,210,2.39,0,0,0,,,,610,210
85,Radon,Rn,0,202,,0,4.4,,,0.094,10.7485,222,2.6,0,0,0,,,,211.4,222
86,Francium,Fr,0,300,,0,,0.7,,,3.94,223,0.67,0,0,0,,,,950,223
87,Radium,Ra,0,973,,0,5.5,0.9,,,5.2789,226,0.89,0,0,0,,,45,1413,226
88,Actinium,Ac,0,1320,,1.88,,1.1,,0.12,5.17,227,,0,0,0,0.8,,22.54,3470,227
89,Thorium,Th,54,2028,3,1.8,11.78,1.3,54,0.118,6.08,232.0381,,75.3,48.9,47.8,4,,19.8,5060,232.0377
90,Protactinium,Pa,0,2113,3,1.61,15.37,1.5,,,5.89,231.0359,,0,0,0,0.49,,15,4300,231.03588
91,Uranium,U,100,1405.5,3,1.38,19.05,1.7,97.9,0.116,6.1941,238.0289,,214.86,46.22,124.79,-15.79,,12.5,4018,238.02891
92,Neptunium,Np,0,913,,1.3,20.25,1.3,,,6.2657,237,,0,0,0,-14.01,,21.1,4175,237
93,Plutonium,Pu,0,914,,1.51,19.84,1.3,76,,6.06,244,,0,0,0,0.69,,,3505,244
94,Americium,Am,0,1267,,1.73,13.67,,,,5.9933,243,,0,0,0,,,20.8,2880,243
95,Curium,Cm,0,1340,,2.99,13.51,,,,6.02,247,,0,0,0,,,18.28,,247
96,Berkelium,Bk,0,,,2.97,13.25,,,,6.23,247,,0,0,0,,,,,247
97,Californium,Cf,0,900,,2.95,15.1,,1.57,,6.3,251,,0,0,0,,,,,251
98,Einsteinium,Es,0,,,2.92,,,,,6.42,252,,0,0,0,,,,1130,252
99,Fermium,Fm,0,1800,,2.9,,,,,6.5,257,,0,0,0,,,,,257
100,Mendelevium,Md,0,1100,,2.87,,,,,6.58,258,,0,0,0,,,,,258
101,Nobelium,No,0,1100,,2.85,,,,,6.65,259,,0,0,0,,,,,259
102,Lawrencium,Lr,0,,,2.82,,,,,,262,,0,0,0,,,,,262
103,Rutherfordium,Rf,0,,,0,,,,,,261,,0,0,0,,,,,267
104,Dubnium,Db,0,,,0,,,,,,262,,0,0,0,,,,,268
105,Seaborgium,Sg,0,,,0,,,,,,266,,0,0,0,,,,,271
106,Bohrium,Bh,0,,,0,,,,,,264,,0,0,0,,,,,274
107,Hassium,Hs,0,,,0,,,,,,277,,0,0,0,,,,,269
108,Meitnerium,Mt,0,,,0,,,,,,268,,0,0,0,,,,,276
109,Darmstadtium,Ds,0,,,0,,,,,,281,,0,0,0,,,,,281
110,Roentgenium,Rg,0,,,0,,,,,,272,,0,0,0,,,,,281
111,Copernicium,Cn,0,,,0,,,,,,285,,0,0,0,,,,,285
112,Nihonium,Nh,0,,,0,,,,,,286,,0,0,0,,,,,286
113,Flerovium,Fl,0,,,0,,,,,,289,,0,0,0,,,,,289
114,Moscovium,Mc,0,,,0,,,,,,290,,0,0,0,,,,,288
115,Livermorium,Lv,0,,,0,,,,,,292,,0,0,0,,,,,293
116,Tennessine,Ts,0,,,0,,,,,,294,,0,0,0,,,,,294
117,Oganesson,Og,0,,,0,,,,,,294,,0,0,0,,,,,294
