Composition,YS (MPa),radius,radius_diff,VEC,VEC_diff,Hmix,Smix,allen_en,allen_diff,ion,ion_diff,melting,melting_diff,GGA,GGA_diff,c11,c11_diff,delta
Al0.1429Co0.1429Cr0.1429Cu0.1429Fe0.1429Ni0.1429V0.1429,1469,1.30039,4.74,7.43,35.87,-7.76,16.18,1.7380927,0.127,7.237556329999999,9.47,1697.95209,23.55,-0.4015489999999999,826.56,232.176775,31.45,0.72
Al0.1429Co0.2857Fe0.2857Ni0.2857,346,1.275722,4.97,8.14,27.42,-9.47,11.24,1.8075617000000004,0.085,7.54737906,8.57,1648.17855,17.81,-1.769769,237.46,238.44341500000002,26.18,0.46
Al0.1454Ca0.0098Li0.3691Mg0.466Si0.0098,360,1.557869,4.74,1.8,39.75,-2.56,9.1,1.2025974,0.254,6.56333701,16.18,797.140879,25.25,-0.20169099999999998,690.55,50.002944,67.68,0.41
Al0.1489Cr0.2128Fe0.2128Mn0.2128Ni0.2128,1170,1.308847,4.88,7.04,30.86,-10.76,13.31,1.7467997,0.095,7.220425779999999,8.94,1667.11495,22.08,-1.2205789999999999,323.63,272.723395,34.26,0.56
Al0.1499Ca0.005Li0.38Mg0.4502Si0.0149,342,1.553195,4.53,1.8,41.18,-3.07,9.15,1.2041757,0.262,6.54046299,16.31,796.0549500000001,26.5,-0.18815299999999996,753.87,50.463847,69.65,0.45
Al0.1499Ca0.005Li0.3902Mg0.45Si0.005,300,1.555617,4.26,1.77,40.23,-2.07,8.85,1.1942511,0.254,6.51322726,16.28,784.8564880000001,24.57,-0.156145,886.83,48.94842499999999,68.23,0.49
Al0.1501Ca0.1001Li0.3499Mg0.3499Si0.05,418,1.580025,9.48,1.9,43.72,-7.75,11.64,1.2129442,0.293,6.47994611,16.04,851.9234809999999,32.18,-0.15055899999999997,998.05,51.356375,81.97,0.13
Al0.1539C0.2307Co0.1539Cr0.1539Fe0.1539Ni0.1539,1255,1.207209,14.4,6.46,39.64,-39.68,14.79,1.9386045,0.344,8.165083710000001,22.27,2168.72445,44.68,-2.01978,202.24,427.95592500000004,79.54,0.07
Al0.1539Co0.1539Cr0.1539Fe0.1539Ni0.1539Ti0.2307,2220,1.336401,7.16,6.46,39.64,-23.91,14.79,1.6700697,0.184,7.142598240000001,9.51,1733.39355,21.03,-1.8652109999999997,210.93,226.41640500000003,34.78,0.29
Al0.1579Mo0.2105Nb0.2105Ti0.2105V0.2105,1260,1.417227,3.46,4.68,20.86,-11.12,13.33,1.4734877,0.08,6.718288719999999,5.1,2194.3016500000003,29.9,-1.006645,297.85,248.679475,48.53,1.11
