Composition,YS (MPa)
Al0.2222Cr0.2222Fe0.2222Mo0.1111Ni0.2222,1749
Al0.2222Nb0.2222Ti0.2222V0.2222Zr0.1111,1480
Al0.225Cu0.2Fe0.1501Ni0.2Ti0.225,980
Al0.2278Cr0.2574Fe0.2574Ni0.2574,770
Al0.2353Co0.0588Cr0.2353Fe0.2353Ni0.2353,1363
Al0.2353Nb0.2353Ti0.2353V0.2353Zr0.0588,1360
Al0.2381Cr0.2381Fe0.2381Mo0.0476Ni0.2381,1487
Al0.2439Nb0.2439Ti0.2439V0.2439Zr0.0244,1290
Al0.2499Co0.1667Cr0.1667Fe0.1667Ni0.1667Ti0.0832,1566
Al0.25Co0.25Cr0.25Ni0.25,1750
Al0.25Co0.25Fe0.25Ni0.25,964
Al0.25Cr0.25Mo0.25Ti0.25,1100
Al0.25Cu0.25Ni0.25Ti0.25,300
Al0.25Mo0.25Nb0.25Ti0.25,1100
Al0.25Nb0.25Ta0.125Ti0.25Zr0.125,1352
Al0.25Nb0.25Ta0.25Ti0.25,1152
Al0.25Nb0.25Ti0.25V0.25,1000
Al0.2727Cr0.2424Fe0.2424Ni0.2424,1044
Al0.2857Co0.1429Cr0.1429Cu0.1429Fe0.1429Ni0.1429,1620
Al0.287Cr0.2377Fe0.2377Ni0.2377,906.8
Al0.2999Co0.1667Cr0.1667Fe0.1667Ni0.1667Ti0.0333,1324
Al0.2Co0.1666Cr0.1666Fe0.1666Ni0.1666Ti0.1334,1503
Al0.2Co0.2667Fe0.2667Ni0.2667,794
Al0.2Co0.2Cr0.2Fe0.2Ni0.2,1051
Al0.2Co0.2Cu0.2Fe0.2Ni0.2,994
Al0.2Cr0.2Cu0.2Fe0.2Mn0.2,1010
Al0.2Cr0.2Cu0.2Fe0.2Ni0.2,1511
Al0.2Cr0.2Fe0.2Mo0.1Ni0.2Ti0.1,2228.7
Al0.2Cr0.2Fe0.2Ni0.4,774
Al0.2Cr0.2Mo0.2Nb0.2Ti0.2,1010
Al0.2Cr0.2Nb0.2Ti0.2V0.2,1550
Al0.2Cu0.2Fe0.2Ni0.2Ti0.2,1074
Al0.2Li0.2Mg0.2Sn0.2Zn0.2,600
Al0.2Mo0.1Nb0.2Ta0.1Ti0.2Zr0.2,2000
Al0.2Mo0.2Nb0.2Ti0.2V0.2,1375
Al0.2Nb0.2Ta0.2Ti0.2V0.2,993
Al0.2Nb0.2Ti0.2V0.2Zr0.2,1500
